OBJECTID,LE_ID,ENGLISH,COUNTY,GUID,P14_100k,EventDate
2676,13260410,BLACKROCK LEA-6,DUBLIN,2ae19629-3f4f-13a3-e055-000000000001,0,2020/08/24 00:00:00+00
2677,13260410,BLACKROCK LEA-6,DUBLIN,2ae19629-3f4f-13a3-e055-000000000001,0,2020/08/17 00:00:00+00
2678,13260410,BLACKROCK LEA-6,DUBLIN,2ae19629-3f4f-13a3-e055-000000000001,0,2020/08/10 00:00:00+00
2679,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,179.8,2020/11/23 00:00:00+00
2680,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,171.4,2020/11/16 00:00:00+00
2681,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,104.5,2020/11/09 00:00:00+00
2682,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,83.6,2020/11/02 00:00:00+00
2683,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,112.9,2020/10/26 00:00:00+00
2684,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,154.7,2020/10/19 00:00:00+00
2685,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,163.1,2020/10/12 00:00:00+00
2686,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,121.2,2020/10/05 00:00:00+00
2687,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,146.3,2020/09/28 00:00:00+00
2688,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,96.2,2020/09/21 00:00:00+00
2689,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,0,2020/09/14 00:00:00+00
2690,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,0,2020/09/07 00:00:00+00
2691,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,0,2020/08/31 00:00:00+00
2692,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,0,2020/08/24 00:00:00+00
2693,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,0,2020/08/17 00:00:00+00
2694,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,0,2020/08/10 00:00:00+00
2695,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,281.7,2020/11/23 00:00:00+00
2696,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,384.5,2020/11/16 00:00:00+00
2697,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,536.5,2020/11/09 00:00:00+00
2698,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,702,2020/11/02 00:00:00+00
2699,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,603.6,2020/10/26 00:00:00+00
2700,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,505.2,2020/10/19 00:00:00+00
2701,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,487.3,2020/10/12 00:00:00+00
2702,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,241.4,2020/10/05 00:00:00+00
2703,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,116.2,2020/09/28 00:00:00+00
2704,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,58.1,2020/09/21 00:00:00+00
2705,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,0,2020/09/14 00:00:00+00
2706,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,0,2020/09/07 00:00:00+00
2707,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,0,2020/08/31 00:00:00+00
